Name,School,Power,Link,Hometown
Connor Stirling,Brigham Young,10.38,/swimmer/213795,"Cave Creek, AZ"
Franz Adam,Hawaii,-1.0,,
Roger Woods,Brigham Young,29.08,/swimmer/312190,"Cedar Park, TX"
Loren Gillilan,CSUB,24.17,/swimmer/357333,"Fort Collins, CO"
Christian Martinez,UCSB,-1.0,,
Antonio Milin,CSUB,9.19,/swimmer/541153,"Zadar, CRO"
Tim Masten,Hawaii,100.0,/swimmer/911688,"Trzin, SLO"
Javier Nicolas,Brigham Young,-1.0,,
Timothy Lee,UCSB,-1.0,,
Josue Dominguez,Brigham Young,2.57,/swimmer/893681,"Santiago de los Caba, DOM"
Andrew Davis,Pacific,22.86,/swimmer/356493,"Hayward, CA"
Zach Dietz,UCSB,97.95,/swimmer/302126,"Panama City Beach, FL"
Ryan Iannaccone,Cal Poly,21.03,/swimmer/496380,"Concord, CA"
Dylan Parente,Pacific,23.42,/swimmer/374715,"Valencia, CA"
Frankie Fitzpatrick,Pacific,-1.0,,
Ben Wolf,UCSB,-1.0,,
Matthew Hosmer,Pacific,27.08,/swimmer/1034901,"Stockton, CA"
Jackson Mason,UCSB,-1.0,,
David Noyes,Pacific,6.45,/swimmer/418696,"San Jose, CA"
Cooper Gates,Incarnate Word,34.71,/swimmer/602096,"McAllen, TX"
Tim Gallagher,Hawaii,-1.0,,
Brayden Murphy,Brigham Young,8.9,/swimmer/240509,"Reno, NV"
Tyler Johns,Cal Poly,18.34,/swimmer/459792,"Keller, TX"
Walker Wilson,Pacific,30.97,/swimmer/459561,"Tulsa, OK"
Garrison Price,Cal Poly,-1.0,,
Colin Casey,UCSB,-1.0,,
Winston Fong,Pacific,62.06,/swimmer/603847,"Moraga, CA"
Logan Heaney,Pacific,26.21,/swimmer/413272,"Pleasant Hill, CA"
William Schodorf,UCSB,13.49,/swimmer/497466,"El Segundo, CA"
Andre Yarcan,Cal Poly,17.85,/swimmer/504955,"Pasadena, CA"
Kennan Hotchkiss,UCSB,17.0,/swimmer/374859,"Malibu, CA"
Justin Lisoway,Hawaii,16.64,/swimmer/671267,"Foothills, AB"
John Clark,Hawaii,-1.0,,
Lars Worlund,Cal Poly,12.81,/swimmer/409212,"Ft. Collins, CO"
Daniel Marella,UCSB,-1.0,,
Brian Wong,Cal Poly,-1.0,,
Christopher Patrick,Cal Poly,23.49,/swimmer/447454,"Boise, ID"
Sawyer Kruse,Hawaii,21.04,/swimmer/491311,"Fort Collins, CO"
Colton Smith,Cal Poly,-1.0,,
Christopher Hogan,Cal Poly,23.18,/swimmer/539084,"Claremont, CA"
Timothy Cater,Cal Poly,18.15,/swimmer/391516,"Fort Wayne, IN"
Nalex Young,Pacific,-1.0,,
Ethan Kramer,Brigham Young,12.64,/swimmer/271705,"Lexington, KY"
Ricky Lewis,Pacific,-1.0,,
Nick Cisco,Pacific,-1.0,,
