ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
377291,,,,,,,,,,,,,,,,,,,,,,,,,,1:01.47,,,2:14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,,8.85,,,,,,,,,,,,,,,
459741,22.08,,,,,54.92,1:41.91,,,4:42.05,,,10:58.85,,,,,17:14.60,58.57,,,2:09.14,,,1:03.46,,,2:26.90,,,54.57,,,2:03.51,,,56.35,,1:59.84,,,4:25.38,,,42.87,,,,,35.65,22.09,,,30.71,,,79.75,,,,,39.35,96.61,,,99.84,,,68.74,,,100.0,,,61.81,,,68.22,,,39.38,,47.19,,,60.26,,
469880,21.75,,,48.34,,,1:47.66,,,5:11.23,,,,,,,,,52.96,,,2:06.71,,,1:05.20,,,,,,49.49,,,1:52.17,,,58.60,,1:57.05,,,,,,36.6,,,39.65,,,43.76,,,75.28,,,,,,,,,45.61,,,88.82,,,82.92,,,,,,20.95,,,26.26,,,56.63,,37.22,,,,,
476740,21.43,,,47.03,,,1:42.80,,,4:47.14,,,10:00.87,,,17:38.25,,,57.89,,,,,2:40.61,1:02.36,,,,,2:54.84,52.96,,,2:39.00,,,1:00.95,,1:58.34,,,4:37.40,,,30.7,,,28.68,,,25.29,,,37.86,,,36.59,,,60.5,,,89.88,,,,,100.0,60.17,,,,,100.0,47.99,,,100.0,,,76.11,,41.77,,,82.89,,
388648,,,25.82,,,56.93,,,2:03.51,5:07.70,,,10:42.62,,,17:40.87,,,58.92,,,2:18.66,,,59.66,,,2:08.99,,,,,1:00.88,2:09.88,,,,,1:58.67,,,4:18.85,,,,,42.29,,,44.73,,,39.52,64.43,,,58.96,,,58.01,,,90.61,,,100.0,,,34.96,,,32.25,,,,,43.91,84.81,,,,,36.22,,,41.09,,
667411,,,25.15,,,54.29,,,1:58.75,4:45.34,,,9:49.71,,,16:34.62,,,,,1:01.37,1:56.07,,,58.72,,,2:06.78,,,,,57.81,,,2:15.35,55.04,,1:51.48,,,4:02.17,,,,,31.58,,,25.65,,,24.12,31.33,,,23.07,,,30.39,,,,,47.31,37.45,,,28.73,,,25.62,,,,,23.36,,,43.29,66.0,,13.1,,,15.71,,
585431,22.33,,,51.31,,,,,2:27.07,,,,,,,,,,,,1:16.18,,,,,,1:29.86,,,,,,1:14.00,,,,,,,,2:46.47,,,,40.27,,,59.8,,,,,100.0,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,,100.0,,,
475508,,,24.57,45.56,,,1:40.51,,,4:39.39,,,9:53.83,,,16:53.38,,,,,1:11.38,2:19.29,,,,,1:37.67,,,,57.83,,,,,,1:31.29,,2:08.35,,,5:32.56,,,,,29.25,17.08,,,17.17,,,27.08,,,31.88,,,41.06,,,,,100.0,100.0,,,,,100.0,,,,92.38,,,,,,100.0,,80.6,,,100.0,,
377769,23.13,,,50.40,,,1:49.64,,,5:07.72,,,,,,,,19:31.93,,,1:03.88,1:59.45,,,59.98,,,2:07.39,,,55.96,,,,,2:39.26,55.04,,1:56.12,,,4:12.77,,,55.79,,,51.5,,,45.89,,,64.46,,,,,,,,100.0,,,66.0,49.73,,,37.13,,,27.43,,,63.34,,,,,100.0,66.0,,27.69,,,31.45,,
438670,,,25.97,49.13,,,1:46.92,,,4:49.74,,,10:38.81,,,18:49.30,,,1:01.41,,,2:11.36,,,1:00.67,,,2:16.45,,,53.28,,,2:07.00,,,1:00.36,,2:01.45,,,4:35.24,,,,,52.45,46.56,,,40.84,,,41.61,,,63.93,,,94.83,,,100.0,,,100.0,,,47.58,,,62.89,,,50.67,,,82.8,,,71.07,,53.17,,,78.68,,
